servo1,servo23,servo45,servo6,servo7,speed,delay,keterangan
510,336,426,687,512,100,2,#default
505,300,599,511,900,100,1,#gerakan 1
505,300,599,511,512,300,1,
505,300,599,511,900,300,1,
505,300,599,511,512,300,1,
505,300,599,511,900,300,1,
831,300,599,511,512,100,2,#gerakan 2
831,300,599,511,900,300,1,
831,300,599,511,512,300,1,
831,300,599,511,900,300,1,
831,300,599,511,512,300,1,
227,300,599,511,512,100,3,#gerakan 3
227,300,599,511,900,300,1,
227,300,599,511,512,300,1,
227,300,599,511,900,300,1,
227,300,599,511,515,300,1,
510,336,426,687,512,100,2,#default
